itrdb_species_code,species_name,scientific_aliases,common_names,phylogenetic_group,leaf_habit,tree_ring_structure
JUMO,Juniperus monosperma (Emgelm.) Sarg.,[],"[""one-seed juniper""]",,,
JUOC,Juniperus occidentalis Hook.,[],"[""western juniper""]",,,
JUOS,Juniperus osteosperma (Torr.) Little,[],"[""Utah juniper""]",,,
JUOX,Juniperus oxycedrus L.,[],"[""prickly juniper""]",,,
JUPH,Juniperus phoenicea L.,[],"[""Phoenicean juniper""]",,,
JUPI,Juniperus pinchotii Sudw.,[],"[""redberry juniper"", ""Pinchot juniper""]",,,
JUPC,Juniperus procera Hochst. ex Endl.,[],"[""African pencil cedar"", ""East African juniper"", ""Uganda juniper""]",,,
JUPR,Juniperus przewalskii Komarov,"[""Sabina przewalskii Komarov""]","[""Qilianshan juniper""]",,,
JURE,Juniperus recurva Buch.-Ham. ex D. Don,[],"[""drooping juniper""]",,,
JUSC,Juniperus scopulorum Sarg.,[],"[""Rocky Mountain juniper""]",,,
JUSM,Juniperus semiglobosa Regel,"[""Juniperus indica""]",[],,,
JUSE,Juniperus seravschanica Komar.,"[""Juniperus palycarpos""]",[],,,
JUSP,Juniperus spp. L.,[],"[""juniper""]",,,
JUTH,Juniperus thurifera L.,[],"[""Spanish juniper""]",gymnosperm,evergreen,non-porous
JUTI,Juniperus tibetica Kom.,[],"[""Tibetan juniper""]",,,
JUTU,Juniperus turkestanica Komar.,[],"[""Turkestan juniper""]",,,
JUVI,Juniperus virginiana L.,[],"[""eastern red-cedar""]",,,
KHGR,Khaya grandifolia C.DC.,[],"[""Benin mahogany"", ""African mahogany"", ""acajou""]",,,
KRDR,Krenevaja drevesina,[],[],,,
KUER,Kunzea ericoides (A. Rich.) J. Thompson,[],"[""white tea tree"", ""kanuka""]",,,
LBGL,Labatia glomerata,[],[],,,
LBAN,Laburnum anagyroides Medik.,[],"[""common laburnum""]",,,
LGCO,Lagarostrobus colensoi (Hook.) C.J. Quinn,"[""Dacrydium colensoi Hook.""]",[],,,
LGFR,Lagarostrobus franklinii (Hook. f.) Quinn,[],"[""huon pine""]",,,
LSFL,Lagerstroemia flos-reginae Retz.,[],"[""pyinma banaba"", ""banglang"", ""jarul""]",,,
LSLA,Lagerstroemia lanceolata Wall.,[],"[""benteak"", ""nana""]",,,
LSPA,Lagerstroemia parviflora Roxb.,[],"[""lendia""]",,,
LGSP,Lagerstroemia speciosa (L.) Pers.,[],[],,,
LACA,Larix cajanderi Mayr,"[""Larix gmelinii""]",[],,,
LADE,Larix decidua Mill.,[],"[""European larch""]",gymnosperm,deciduous,non-porous
LAGM,Larix gmelinii (Rupr.) Kuzen.,"[""L.kurulensis(Maxim ex Regel)Pilg."", ""L.dahuricaTurcz.exTratv"", ""Larix cajanderi Mayr""]","[""Dahurian larch""]",gymnosperm,deciduous,non-porous
LAGR,Larix griffithiana (Lindl. & Gord.) Carr.,[],"[""Himalayan larch""]",gymnosperm,deciduous,non-porous
